,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
6216,505,2023,3366,273000,1,1898.0,0,1,0,1,0,0,0,0,1,4
6217,505,2023,3366,273000,1,1898.0,0,1,0,1,0,1,0,0,0,4
6218,60000,2019,1604,95000,1,1598.0,0,0,1,1,0,0,1,0,0,12
6219,99000,2018,1353,67000,2,1591.0,0,0,1,1,0,1,0,0,0,13
6220,98590,2019,1604,111018,1,1798.0,0,0,1,1,0,0,0,0,1,12
6221,9000,2021,4731,339900,2,1991.0,0,0,1,1,0,1,0,0,0,0
6222,85000,2018,1353,74000,2,1368.0,0,0,1,1,0,0,1,0,0,13
6223,93774,2020,1835,127778,1,1798.0,0,0,1,1,0,0,0,0,1,12
6224,86275,2020,2019,158528,1,1498.0,0,0,1,1,0,0,0,0,1,27
6225,30000,2019,1604,105000,1,1591.0,0,0,1,1,0,1,0,0,0,13
6226,123000,2017,1604,87000,2,1580.0,0,0,1,1,0,1,0,0,0,35
6227,270000,2013,1205,25000,2,1390.0,0,0,1,1,0,1,0,0,0,27
6228,63000,2020,2417,145900,1,2360.0,1,0,1,1,0,0,1,0,0,19
6229,135000,2015,1962,66900,3,3564.0,0,0,1,1,0,1,0,0,0,37
6230,110000,2017,2019,98000,1,1598.0,0,0,1,1,0,1,0,0,0,31
6231,120000,2016,1962,84000,3,1499.0,0,0,1,1,0,1,0,0,0,6
6232,20000,2022,2130,159999,1,1499.0,0,1,0,1,0,1,0,0,0,31
6233,140000,2017,1353,59990,2,1368.0,0,0,1,1,0,0,0,0,1,13
6234,160000,2015,1424,25000,2,1362.0,0,0,1,1,0,1,0,0,0,37
6235,120060,2019,2019,145510,1,1498.0,0,0,1,1,0,0,0,0,1,27
6236,36666,2019,2019,140284,1,1999.0,0,0,1,1,0,0,0,0,1,13
6237,142230,2018,1102,44000,1,1197.0,0,0,1,1,0,0,0,0,1,36
6238,219000,2016,1584,52000,2,1560.0,0,1,0,0,1,1,0,0,0,26
6239,45000,2019,3357,298000,2,1991.0,0,0,1,1,0,1,0,0,0,20
6240,60000,2020,1604,92900,2,1461.0,0,1,0,1,0,0,1,0,0,36
6241,149000,2019,1102,62000,2,1368.0,0,0,1,1,0,0,1,0,0,35
6242,200000,2016,1205,50000,1,1591.0,0,0,1,1,0,0,0,0,1,13
6243,165000,2012,1262,20999,2,1596.0,0,0,1,1,0,0,1,0,0,29
6244,70000,2021,1811,154500,2,999.0,0,0,1,1,0,1,0,0,0,27
6245,105000,2019,1604,138500,2,1798.0,0,0,1,1,0,1,0,0,0,12
6246,70000,2017,1693,112500,3,1499.0,0,0,1,1,0,1,0,0,0,6
6247,145000,2019,2563,188500,1,2359.0,0,0,1,1,0,1,0,0,0,13
6248,145000,2017,1604,82000,2,1580.0,0,0,1,1,0,0,1,0,0,35
6249,505,2023,2417,189000,1,1998.0,0,0,1,1,0,1,0,0,0,17
6250,240000,2016,985,31000,1,1193.0,0,0,1,1,0,1,0,0,0,19
6251,154000,2019,1353,70000,1,1598.0,0,0,1,1,0,1,0,0,0,21
6252,59000,2019,1604,118000,1,1798.0,0,0,1,1,0,1,0,0,0,12
6253,69000,2018,3357,234900,1,1969.0,1,0,1,1,0,1,0,0,0,11
6254,105000,2019,1604,106900,2,1498.0,0,0,1,1,0,0,1,0,0,27
6255,151948,2021,2417,77900,1,1749.0,0,1,0,1,0,0,0,0,1,36
